fire_id,cause_id,agency_id,time_id,collection_method,acres_burned,shape_area,shape_length,duration_days
1,14,1,1,7.0,23448.88,138651835.0,140231.608232476,24.0
2,14,1,2,7.0,14056.26,83363928.8945313,104933.207223671,23.0
3,14,1,3,7.0,10396.8,62160638.9140625,96698.599857731,6.0
4,14,2,4,2.0,998.7378,5919678.1015625,15602.0048488298,26.0
5,14,1,1,7.0,831.3855,4946081.875,16094.2170731712,2.0
6,14,1,2,7.0,347.7042,2073567.0,11177.2465382584,3.0
7,7,1,5,7.0,429602.8,2976278451.51563,543809.449227997,45.0
8,14,3,5,3.0,59288.54,362834454.824219,169207.775741037,53.0
9,14,3,6,7.0,55724.17,331298783.972656,241654.717991543,114.0
10,14,3,7,3.0,43975.61,260553640.191406,222266.655247546,108.0
11,14,3,8,3.0,38610.38,232044496.441406,318377.121646276,30.0
12,1,3,9,3.0,23822.11,147526885.351563,86488.3397899506,55.0
13,2,2,10,3.0,23526.35,137790737.367188,106263.443450057,27.0
14,14,2,11,7.0,19902.06,118355318.890625,258807.527663524,20.0
15,11,1,12,7.0,19132.36,129345449.0,89398.2772758444,9.0
16,2,1,13,7.0,17614.5,109616688.113281,90232.8640572231,18.0
17,14,1,14,7.0,15563.13,93459776.3515625,105746.042468749,11.0
18,14,3,15,7.0,15519.74,112042566.890625,177662.851471411,34.0
19,14,1,16,2.0,14166.77,91570764.703125,97807.6408129759,5.0
20,1,4,17,3.0,14103.92,88264175.5351563,88301.879222723,135.0
21,1,3,18,3.0,14020.15,88868281.7265625,71700.9464270762,23.0
22,14,5,9,7.0,13279.43,80662159.5859375,65540.7428611433,4.0
23,1,3,19,7.0,12912.65,92520983.6289063,115246.641474266,42.0
24,1,3,20,6.0,12543.15,79384213.4804688,166541.744211584,122.0
25,1,1,21,2.0,10641.13,67212263.6328125,58797.6376632474,10.0
26,14,2,9,1.0,9637.177,58391993.96875,54852.9200158915,2.0
27,1,5,22,7.0,9204.34,56819593.703125,76439.1017200037,64.0
28,1,3,20,7.0,7224.247,51038776.4453125,66735.5414734239,29.0
29,14,2,9,1.0,5562.288,33599896.5078125,52413.0180713813,13.0
30,2,1,12,2.0,5284.863,34497556.71875,38650.6678623788,10.0
31,11,1,23,3.0,5221.287,30436774.0,42148.2364847187,9.0
32,9,3,24,3.0,5124.031,36359824.5585938,53634.28376337,38.0
33,10,5,25,7.0,4379.456,31387235.3164063,43562.3857508668,7.0
34,14,3,26,7.0,4223.524,26504241.2695313,45168.1163334028,90.0
35,14,1,27,7.0,4123.706,24371344.71875,71430.2455872252,10.0
36,14,2,22,1.0,4044.124,24831608.09375,29475.0196712367,0.0
37,8,1,28,2.0,3819.055,24704568.7226563,72262.1225733948,7.0
38,7,1,29,7.0,3782.467,25775506.8515625,76666.3995121508,7.0
39,14,3,30,7.0,3322.563,22685905.0703125,50500.2574459363,22.0
40,14,2,31,1.0,3283.201,20192310.9648438,23348.200482113,1.0
